系统	类型	区域	DPE	规格下限	控制下限	警告下限	目标值	警告上限	控制上限	规格上限	视界下限	视界上限	剔除下限	剔除上限	FMCS系统代码	管制方向	报警等级
CR	湿度	PA栋3楼温湿度传感器4湿度	DA1:F3P1A_3F_CR_MT4_HT.STATE.VAL_IN.VALUE	20	21	21.33	22	22.47	23	24	15	30	0	50	DA1	双边	
		PA栋3楼温湿度传感器8湿度	DA1:F3P1A_3F_CR_MT8_HT.STATE.VAL_IN.VALUE	20	21	21.33	22	22.47	23	24	15	30	0	50	DA1	双边	
		PB栋3楼温湿度传感器13湿度	DA1:F3P1B_3F_CR_MT13_HT.STATE.VAL_IN.VALUE	35	40	42.47	45	47.61	50	55	25	75	0	100	DA1	双边	
	温度	PA栋3楼温湿度传感器4温度	DA1:F3P1A_3F_CR_MT4_TT.STATE.VAL_IN.VALUE	20	21	21.33	22	22.47	23	24	15	30	0	50	DA1	双边	
		PA栋3楼温湿度传感器8温度	DA1:F3P1A_3F_CR_MT8_TT.STATE.VAL_IN.VALUE	20	21	21.33	22	22.47	23	24	15	30	0	50	DA1	双边	
		PB栋3楼温湿度传感器13温度	DA1:F3P1B_3F_CR_MT13_TT.STATE.VAL_IN.VALUE	35	40	42.47	45	47.61	50	55	25	75	0	100	DA1	双边	
PCW	压力	FAB3栋二层PCW1末端压力01	DA4:F3P1A_2F_PCW_T_PT_01.STATE.VAL_IN.VALUE	0	5.3	5.7	5.8	5.9	6.3	10	4.8	6.8	0	10	DA4	双边	
	温度	FAB3栋二层PCW1末端温度01	DA4:F3P1A_2F_PCW_T_TT_01.STATE.VAL_IN.VALUE	-20	16	16.3	16.5	16.7	17	50	15.5	17.5	-20	50	DA4	双边	
	电导率	CUB1栋二层PCW1电导率	DA4:CUB1A_2F_PCW_CE.STATE.VAL_IN.VALUE	0	10	20	40	60	80	1000	10	80	0	1000	DA4	双边	
	酸碱度	CUB1栋二层PCW1_PH值	DA4:CUB1A_2F_PCW_PH.STATE.VAL_IN.VALUE	2	7	7.5	8	8.5	9	12	6	10	2	12	DA4	双边	
	压力	FAB3栋一层PV主管压力	DA4:F3P1_1F_PV_PT_01.STATE.VAL_IN.VALUE	0	85	90	115	140	145	2000	70	160	0	2000	DA4	双边	
PEX	碱性排气压力	F3P1A4楼AEX主管压力传感器1	DA1:F3P1A_4F_PEX_AEX_PT_01.STATE.VAL_IN.VALUE	750	800	825	850	875	900	950	650	1050	0	2500	DA1	双边	
		F3P1A4楼AEX主管压力传感器2	DA1:F3P1A_4F_PEX_AEX_PT_02.STATE.VAL_IN.VALUE	750	800	825	850	875	900	950	650	1050	0	2500	DA1	双边	
